stop_id,stop_name,stop_lat,stop_lon,location_type
499718,Derry St & S 15th St,40.262547,-76.86541,0
499720,Berryhill St & S 21st St,40.262623,-76.853706,0
499722,Derry St & S 15th St,40.262669,-76.865196,0
499724,Derry St & S 15th St,40.262672,-76.865204,0
499730,Mulberry St & Hummel St,40.262737,-76.8703,0
499736,Derry St & S 14th St,40.262783,-76.867287,0
499744,Walnut St opp. 4th St,40.262871,-76.881241,0
499745,Derry St & S 14th St,40.262917,-76.867104,0
3405147,Grandview Ave @ #245,40.259972,-76.919983,0
499751,Derry St & S 13th St,40.263,-76.868645,0
499753,N 3rd St opp. Pine St,40.26292,-76.883942,0
499760,Berryhill St & S 22nd St,40.263016,-76.851715,0
499761,Derry St opp. Lincoln Ave,40.263039,-76.788719,0
499762,S 13th St & Derry St,40.262959,-76.86866,0
499763,Derry St & S 13th St,40.263134,-76.868706,0
499768,S 13th St & Derry St,40.263149,-76.868835,0
499770,N 3rd St & South St,40.263187,-76.884392,0
499771,Berryhill St & S 22nd St,40.263214,-76.851624,0
499780,Commonwealth Ave & Walnut St,40.263382,-76.880829,0
499792,Walnut St & Commonwealth Ave,40.263477,-76.880646,0
499796,Derry St opp. N 61st St,40.263512,-76.782127,0
499800,Berryhill St & S 23rd St,40.263592,-76.849632,0
499802,Yverdon Dr & Old Orchard Ln,40.263702,-76.914742,0
499804,Derry St & N 61st St,40.263676,-76.782059,0
499805,Berryhill St opp. S 23rd St,40.263767,-76.84964,0
499806,Market St opp. N 9th St,40.263851,-76.876831,0
499810,N 3rd St & State St,40.264042,-76.884995,0
499813,N 3rd St & State St,40.263847,-76.884758,0
499817,N 3rd St & State St,40.263988,-76.885071,0
499822,S Cameron St & Market St,40.264019,-76.874428,0
499823,Berryhill St & Platt St,40.264088,-76.847939,0
499824,63rd St & Derry St,40.264091,-76.778183,0
499826,Erford Rd & Meadow Dr,40.26424,-76.921341,0
499829,Market St & 10th St,40.264202,-76.875862,0
499830,Berryhill St & S 24th St,40.26437,-76.847435,0
931177,Shannon Dr & Allentown Blvd,40.326164,-76.774734,0
499832,S 13th St & Vernon St,40.26445,-76.869362,0
499835,Market St & Cameron St,40.26453,-76.874397,0
499837,Echo Rd & W Foxcroft Dr,40.264492,-76.919083,0
499838,Meadow Dr & Mallard Rd,40.264572,-76.920509,0
499839,S 13th St & Chestnut St,40.264618,-76.869537,0
499840,Market St & Cameron St,40.264576,-76.874451,0
499843,Rupley Rd & Yverdon Dr,40.264721,-76.915535,0
499848,Hale Ave & Berryhill St,40.26487,-76.84568,0
3405164,Grandview Ave @ #225,40.259472,-76.921356,0
499853,N Front St & Haldeman St,40.264977,-76.909096,0
499854,Derry St opp. Newsong Village,40.264988,-76.762024,0
499855,Echo Rd & Rupley Rd,40.264999,-76.917938,0
499856,Derry St @ Newsong Village,40.265121,-76.761894,0
499858,N 3rd St & North St,40.264915,-76.88559,0
499859,N Front St opp. Haldeman St,40.265034,-76.90892,0
499860,N 3rd St & North St,40.265038,-76.885605,0
499861,Yverdon Dr opp. E Crestwood Dr,40.265244,-76.915894,0
499862,Market St & S Summit St,40.265324,-76.871735,0
499865,Market St opp. S Summit St,40.265263,-76.872215,0
499872,Hale Ave opp. Kensington St,40.265583,-76.845787,0
499873,Hale Ave & Kensington St,40.265587,-76.846046,0
499874,Forster St & Green St,40.265659,-76.887825,0
499875,Market St & 13th St,40.265781,-76.870186,0
499877,N 3rd St & Briggs St,40.265766,-76.886284,0
499880,Market St & 13th St,40.265888,-76.870193,0
499881,Market St & 13th St,40.26585,-76.870178,0
499884,Market St & 14th St,40.266079,-76.869034,0
499887,Commonwealth Ave & North St,40.266178,-76.882797,0
499889,Commonwealth Ave & North St (Finance Building),40.266178,-76.882698,0
499892,Market St & 14th St,40.266212,-76.869011,0
499897,N 63rd St opp. Clearfield St,40.266289,-76.778534,0
499903,Commonwealth Ave & North St (Keystone Building),40.266346,-76.882912,0
499909,N 3rd St & Forster St,40.266453,-76.88678,0
499910,N 3rd St & Forster St,40.266514,-76.886604,0
499914,Rudy Rd & Hale Ave,40.266628,-76.84623,0
499915,Market St & 15th St,40.26664,-76.867012,0
499917,Rupley Rd opp. Thomas Rd,40.266743,-76.918587,0
499918,Rudy Rd & Hale Ave,40.266716,-76.846237,0
499920,Market St & 16th St,40.266842,-76.866287,0
499921,N 7th St & North St,40.266972,-76.880943,0
499922,Market St & 16th St,40.266953,-76.866165,0
499924,N Front St @ PinnacleHealth Cardiovascular,40.26704,-76.911079,0
499926,Market St & 17th St,40.267292,-76.864655,0
499935,N 3rd St & Boas St,40.267365,-76.887184,0
499936,Somerset St & N 65th St,40.267387,-76.774811,0
499940,Market St & 17th St,40.267361,-76.864685,0
499948,Somerset St & N 65th St,40.267513,-76.774689,0
499950,Somerset St & N 66th St,40.267555,-76.772812,0
499953,Market St & 18th St,40.267647,-76.863365,0
499956,Rudy Rd & 29th St,40.267628,-76.842117,0
499958,Somerset St & N 66th St,40.267685,-76.772705,0
499959,Rudy Rd & Yew Pl,40.26767,-76.842628,0
499961,Market St & 18th St,40.267773,-76.863281,0
499962,N 63rd St & Somerset St,40.267838,-76.778755,0
499963,N 3rd St & Herr St,40.267952,-76.887589,0
499965,Somerset St & N 63rd St,40.26796,-76.778755,0
499966,N 3rd St & Herr St,40.267986,-76.88784,0
499969,Rutherford Square - Inbound Stop (Somerset St & N 67th St),40.267956,-76.770569,0
499970,Market St & 19th St,40.268219,-76.861282,0
499973,Rupley Rd opp. Grant Dr,40.268303,-76.91909,0
499977,Market St & 19th St,40.268333,-76.861183,0
499979,Boas St & Commonwealth Ave,40.268391,-76.884567,0
499980,N 6th St & Boas St,40.268406,-76.884407,0
499988,S 29th St & Wilson Pkwy,40.268623,-76.841492,0
499992,N 3rd St opp. Cumberland St,40.268742,-76.888161,0
499993,Market St opp. S 20th St,40.268917,-76.85907,0
499996,Wilson Pkwy & S 25th St,40.268799,-76.844055,0
499997,S 25th St opp. Wilson Pkwy,40.268867,-76.844208,0
499998,Market St & S 20th St,40.268806,-76.85923,0
499999,Wilson Pkwy & S 25th St,40.268948,-76.843994,0
1728800,Lowther Rd & Letchworth Rd,40.23465,-76.897079,0
1728801,Gettysburg Rd & 30th St,40.228287,-76.928665,0
1728802,Simpson Ferry Rd opp. Lower Allen Dr,40.226357,-76.939285,0
